2025-06-02 11:22:19,917 | INFO | access | POST /api/v1/auth/login status=200 duration=299.69ms client=127.0.0.1
2025-06-02 11:26:26,165 | INFO | access | POST /api/v1/auth/login status=200 duration=300.38ms client=127.0.0.1
2025-06-02 11:26:57,434 | INFO | access | POST /api/v1/auth/login status=200 duration=289.03ms client=127.0.0.1
2025-06-02 11:27:41,756 | INFO | access | POST /api/v1/auth/login status=200 duration=282.00ms client=127.0.0.1
2025-06-02 11:27:59,393 | INFO | access | POST /api/v1/auth/login status=200 duration=299.47ms client=127.0.0.1
2025-06-02 11:29:59,511 | INFO | access | POST /api/v1/auth/login status=200 duration=300.38ms client=127.0.0.1
2025-06-02 11:30:57,380 | INFO | access | POST /api/v1/auth/login status=200 duration=286.85ms client=127.0.0.1
2025-06-02 11:34:41,015 | INFO | access | POST /api/v1/auth/login status=200 duration=295.99ms client=127.0.0.1
2025-06-02 11:35:25,866 | INFO | access | POST /api/v1/auth/login status=200 duration=297.46ms client=127.0.0.1
2025-06-02 11:40:10,454 | INFO | access | POST /api/v1/auth/login status=200 duration=302.37ms client=127.0.0.1
2025-06-02 11:40:48,246 | INFO | access | POST /api/v1/auth/login status=200 duration=302.93ms client=127.0.0.1
2025-06-02 11:40:53,513 | INFO | access | POST /api/v1/auth/refresh status=200 duration=18.21ms client=127.0.0.1
2025-06-02 11:42:57,783 | INFO | access | POST /api/v1/auth/login status=200 duration=300.97ms client=127.0.0.1
2025-06-02 11:43:01,134 | INFO | access | POST /api/v1/auth/refresh status=200 duration=13.06ms client=127.0.0.1
2025-06-02 13:05:38,003 | INFO | access | POST /api/v1/auth/refresh status=200 duration=15.80ms client=127.0.0.1
2025-06-02 13:09:09,716 | INFO | access | POST /api/v1/auth/logout status=400 duration=9.70ms client=127.0.0.1
2025-06-02 13:09:38,473 | INFO | access | POST /api/v1/auth/login status=200 duration=305.77ms client=127.0.0.1
2025-06-02 13:09:41,836 | INFO | access | POST /api/v1/auth/logout status=400 duration=4.37ms client=127.0.0.1
2025-06-02 13:11:11,539 | INFO | access | POST /api/v1/auth/login status=200 duration=297.72ms client=127.0.0.1
2025-06-02 13:11:15,242 | INFO | access | POST /api/v1/auth/logout status=400 duration=8.64ms client=127.0.0.1
2025-06-02 13:12:39,173 | INFO | access | POST /api/v1/auth/logout status=400 duration=9.92ms client=127.0.0.1
2025-06-02 13:13:13,497 | INFO | access | POST /api/v1/auth/logout status=400 duration=14.65ms client=127.0.0.1
2025-06-02 13:13:47,497 | INFO | access | POST /api/v1/auth/logout status=400 duration=12.62ms client=127.0.0.1
2025-06-02 13:15:51,190 | INFO | access | POST /api/v1/auth/logout status=400 duration=10.51ms client=127.0.0.1
2025-06-02 13:18:15,475 | INFO | access | POST /api/v1/auth/logout status=200 duration=11.85ms client=127.0.0.1
2025-06-02 13:18:18,446 | INFO | access | POST /api/v1/auth/logout status=400 duration=1.13ms client=127.0.0.1
2025-06-02 13:18:20,184 | INFO | access | POST /api/v1/auth/logout status=400 duration=1.06ms client=127.0.0.1
2025-06-02 13:18:21,652 | INFO | access | POST /api/v1/auth/logout status=400 duration=1.04ms client=127.0.0.1
2025-06-02 13:20:11,962 | INFO | access | POST /api/v1/auth/logout-all status=401 duration=1.04ms client=127.0.0.1
2025-06-02 13:20:40,312 | INFO | access | POST /api/v1/auth/logout-all status=401 duration=0.83ms client=127.0.0.1
2025-06-02 13:20:45,657 | INFO | access | POST /api/v1/auth/login status=200 duration=303.41ms client=127.0.0.1
2025-06-02 13:20:51,487 | INFO | access | POST /api/v1/auth/logout-all status=401 duration=1.04ms client=127.0.0.1
2025-06-02 13:21:45,479 | INFO | access | POST /api/v1/auth/logout-all status=401 duration=0.99ms client=127.0.0.1
2025-06-02 13:21:50,160 | INFO | access | POST /api/v1/auth/logout status=200 duration=6.72ms client=127.0.0.1
2025-06-02 13:21:56,633 | INFO | access | POST /api/v1/auth/logout-all status=401 duration=1.00ms client=127.0.0.1
2025-06-02 13:22:14,751 | INFO | access | POST /api/v1/auth/logout-all status=401 duration=0.92ms client=127.0.0.1
2025-06-02 13:23:19,853 | INFO | access | POST /api/v1/auth/logout-all status=200 duration=11.52ms client=127.0.0.1
2025-06-02 13:23:22,355 | INFO | access | POST /api/v1/auth/logout-all status=200 duration=4.31ms client=127.0.0.1
2025-06-02 13:23:23,242 | INFO | access | POST /api/v1/auth/logout-all status=200 duration=5.03ms client=127.0.0.1
2025-06-02 13:23:24,041 | INFO | access | POST /api/v1/auth/logout-all status=200 duration=5.10ms client=127.0.0.1
2025-06-02 13:23:28,761 | INFO | access | POST /api/v1/auth/logout-all status=200 duration=4.09ms client=127.0.0.1
2025-06-02 13:23:30,174 | INFO | access | POST /api/v1/auth/logout-all status=200 duration=6.93ms client=127.0.0.1
2025-06-02 13:23:31,191 | INFO | access | POST /api/v1/auth/logout-all status=200 duration=6.79ms client=127.0.0.1
2025-06-02 13:23:32,522 | INFO | access | POST /api/v1/auth/logout-all status=200 duration=5.61ms client=127.0.0.1
2025-06-02 13:23:36,348 | INFO | access | POST /api/v1/auth/logout-all status=200 duration=6.12ms client=127.0.0.1
2025-06-02 13:23:55,818 | INFO | access | POST /api/v1/auth/refresh status=401 duration=1.56ms client=127.0.0.1
2025-06-02 13:23:58,062 | INFO | access | POST /api/v1/auth/refresh status=401 duration=1.08ms client=127.0.0.1
2025-06-02 13:24:22,686 | INFO | access | GET /api/v1/users/me status=200 duration=12.98ms client=127.0.0.1
2025-06-02 13:34:51,784 | INFO | access | POST /api/v1/auth/logout status=400 duration=1.06ms client=127.0.0.1
2025-06-02 13:34:53,087 | INFO | access | POST /api/v1/auth/logout status=400 duration=1.11ms client=127.0.0.1
2025-06-02 13:34:55,800 | INFO | access | POST /api/v1/auth/login status=200 duration=272.62ms client=127.0.0.1
2025-06-02 13:34:58,475 | INFO | access | POST /api/v1/auth/logout status=200 duration=4.74ms client=127.0.0.1
2025-06-02 13:35:04,794 | INFO | access | GET /api/v1/users/me status=200 duration=5.41ms client=127.0.0.1
2025-06-02 14:40:01,173 | INFO | access | POST /api/v1/auth/login status=200 duration=304.01ms client=127.0.0.1
2025-06-02 14:40:03,130 | INFO | access | POST /api/v1/auth/login status=200 duration=276.43ms client=127.0.0.1
2025-06-02 14:48:31,407 | INFO | access | POST /api/v1/auth/login status=200 duration=361.53ms client=127.0.0.1
2025-06-02 14:49:02,979 | INFO | access | POST /api/v1/auth/login status=200 duration=299.25ms client=127.0.0.1
2025-06-02 14:49:10,967 | INFO | access | POST /api/v1/auth/login status=200 duration=271.43ms client=127.0.0.1
2025-06-02 14:49:21,988 | INFO | access | POST /api/v1/auth/login status=200 duration=345.72ms client=127.0.0.1
2025-06-02 14:49:51,718 | INFO | access | POST /api/v1/auth/login status=200 duration=309.78ms client=127.0.0.1
2025-06-02 14:50:23,723 | INFO | access | POST /api/v1/auth/login status=200 duration=305.91ms client=127.0.0.1
2025-06-02 14:50:49,514 | INFO | access | POST /api/v1/auth/login status=200 duration=274.88ms client=127.0.0.1
2025-06-02 14:54:26,585 | INFO | access | POST /api/v1/auth/login status=200 duration=301.33ms client=127.0.0.1
2025-06-02 15:00:03,828 | INFO | access | POST /api/v1/auth/login status=200 duration=301.20ms client=127.0.0.1
2025-06-02 15:02:34,230 | INFO | access | POST /api/v1/auth/login status=200 duration=336.01ms client=127.0.0.1
2025-06-02 15:06:34,080 | INFO | access | GET /api/v1/users/me status=200 duration=8.94ms client=127.0.0.1
2025-06-02 15:06:39,853 | INFO | access | POST /api/v1/auth/login status=200 duration=298.24ms client=127.0.0.1
2025-06-02 15:06:43,317 | INFO | access | GET /api/v1/users/me status=200 duration=5.79ms client=127.0.0.1
